Timestamp,X,Y,Z
2025-03-06 14:03:05,-26.55,10.25,1.16
2025-03-06 14:03:05,2.01,5.43,2.75
2025-03-06 14:03:05,11.6,2.75,1.59
2025-03-06 14:03:05,14.1,4.58,-0.24
2025-03-06 14:03:05,-4.27,0.61,-0.73
2025-03-06 14:03:05,-3.42,-0.18,-0.67
2025-03-06 14:03:05,4.21,-0.43,0.79
2025-03-06 14:03:06,-3.11,2.2,0.49
2025-03-06 14:03:06,0.0,-1.16,-0.61
2025-03-06 14:03:06,-1.53,1.53,0.73
2025-03-06 14:03:06,2.26,-0.67,0.24
2025-03-06 14:03:06,-2.75,0.67,-0.18
2025-03-06 14:03:06,1.4,-0.49,0.06
2025-03-06 14:03:06,1.89,0.12,0.55
2025-03-06 14:03:07,-0.31,0.18,0.18
2025-03-06 14:03:07,0.24,-0.24,0.06
2025-03-06 14:03:07,2.2,-0.12,0.49
2025-03-06 14:03:07,2.56,-0.55,0.31
2025-03-06 14:03:07,2.99,-0.31,0.61
2025-03-06 14:03:07,1.16,-0.12,0.24
2025-03-06 14:03:07,1.34,-0.43,0.06
2025-03-06 14:03:07,0.24,-0.31,-0.06
2025-03-06 14:03:08,0.67,-0.12,0.18
2025-03-06 14:03:08,1.89,-0.06,0.49
2025-03-06 14:03:08,1.04,0.12,0.43
2025-03-06 14:03:08,-0.24,-0.24,-0.06
2025-03-06 14:03:08,-0.31,-0.06,0.06
2025-03-06 14:03:08,0.12,-0.18,0.06
2025-03-06 14:03:08,0.67,-0.12,0.12
2025-03-06 14:03:08,0.73,-0.12,0.18
2025-03-06 14:03:09,0.67,0.0,0.18
2025-03-06 14:03:09,1.16,0.0,0.31
2025-03-06 14:03:09,1.16,-0.31,0.24
2025-03-06 14:03:09,0.49,-0.18,0.12
2025-03-06 14:03:09,0.24,-0.06,0.06
2025-03-06 14:03:09,0.73,-0.12,0.12
2025-03-06 14:03:09,-0.61,-0.12,-0.31
2025-03-06 14:03:10,1.83,-0.06,0.49
2025-03-06 14:03:10,1.28,0.12,0.37
2025-03-06 14:03:10,0.92,-0.18,0.18
2025-03-06 14:03:10,1.1,0.18,0.37
2025-03-06 14:03:10,0.73,-0.43,0.0
2025-03-06 14:03:10,-0.37,-0.49,-0.24
2025-03-06 14:03:10,0.18,0.06,0.18
2025-03-06 14:03:10,-15.63,0.18,0.18
2025-03-06 14:03:11,0.24,0.06,0.12
2025-03-06 14:03:11,0.61,-0.06,0.18
2025-03-06 14:03:11,0.79,0.0,0.24
2025-03-06 14:03:11,0.67,0.0,0.24
2025-03-06 14:03:11,0.37,0.06,0.24
2025-03-06 14:03:11,0.06,-0.18,-0.06
2025-03-06 14:03:11,0.43,-0.12,0.0
2025-03-06 14:03:12,0.73,-0.18,0.12
2025-03-06 14:03:12,0.61,0.0,0.18
2025-03-06 14:03:12,0.92,0.06,0.31
2025-03-06 14:03:12,0.0,0.0,0.12
2025-03-06 14:03:12,-0.37,-0.06,-0.06
2025-03-06 14:03:12,0.37,-0.06,0.06
2025-03-06 14:03:12,0.79,0.0,0.24
2025-03-06 14:03:13,-0.49,-0.43,-0.24
2025-03-06 14:03:13,0.24,-0.06,0.12
2025-03-06 14:03:13,0.67,-0.06,0.12
2025-03-06 14:03:13,0.31,-0.31,-0.24
2025-03-06 14:03:13,0.79,-0.06,0.24
2025-03-06 14:03:13,0.61,-0.06,0.12
2025-03-06 14:03:14,0.55,-0.12,0.12
2025-03-06 14:03:14,0.55,0.06,0.24
2025-03-06 14:03:14,0.55,-0.06,0.24
2025-03-06 14:03:14,0.37,-0.06,0.06
2025-03-06 14:03:14,0.55,-0.06,0.18
2025-03-06 14:03:15,0.31,0.12,0.18
2025-03-06 14:03:15,0.79,0.06,0.31
2025-03-06 14:03:15,0.31,15.56,0.24
2025-03-06 14:03:15,0.43,-0.18,0.06
2025-03-06 14:03:15,0.67,-0.12,0.18
2025-03-06 14:03:15,0.61,0.06,0.24
2025-03-06 14:03:15,-2.01,0.55,0.0
2025-03-06 14:03:16,-41.14,-1.1,-1.77
2025-03-06 14:03:16,-54.75,9.7,-1.4
2025-03-06 14:03:16,14.71,3.17,-14.16
2025-03-06 14:03:16,-32.04,39.86,0.12
2025-03-06 14:03:17,20.2,5.55,-17.64
2025-03-06 14:03:17,-10.31,10.44,0.67
2025-03-06 14:03:17,14.1,6.29,2.93
2025-03-06 14:03:17,10.74,-2.5,6.53
2025-03-06 14:03:18,31.13,-17.33,13.37
